URL,종류,소스,방문목적,핵심행동,운영상태,색인의도,확인상태,title,H1,canonical,로컬수정후title,문제증거,처리,우선순위,변경위험,테스트
https://dsgnyeh.art/#top,앵커,/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-dcare,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-designluka,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-gritlab,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-hoopnote,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-laf2023,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-mavs,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#work-sdngazer,앵커,src/app/page.tsx WorkCard,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/#works,앵커,/; /about/; /brand-identity/; /contact/; /homepage-production/; /operations-automation/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,"당신이 쌓아온 일에, 필요한 다음을 만듭니다.",https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/about/#top,앵커,/about/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,스튜디오의 작업 방식,https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/about/#works,앵커,/about/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,스튜디오의 작업 방식,https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/brand-identity/#service-main,앵커,/brand-identity/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,브랜드 아이덴티티 디자인 · 로고와 웹 적용 · designYEH,브랜드 아이덴티티 디자인 · 로고와 웹 적용,https://dsgnyeh.art/brand-identity/,,,유지,—,,validation.json
https://dsgnyeh.art/brand-identity/#service-works,앵커,/brand-identity/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,브랜드 아이덴티티 디자인 · 로고와 웹 적용 · designYEH,브랜드 아이덴티티 디자인 · 로고와 웹 적용,https://dsgnyeh.art/brand-identity/,,,유지,—,,validation.json
https://dsgnyeh.art/contact/#contact-main,앵커,/contact/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 문의 · designYEH,홈페이지 제작 문의하기,https://dsgnyeh.art/contact/,,,유지,—,,validation.json
https://dsgnyeh.art/homepage-production/#service-main,앵커,/homepage-production/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,소규모 사업자를 위한 홈페이지 제작,https://dsgnyeh.art/homepage-production/,,,유지,—,,validation.json
https://dsgnyeh.art/homepage-production/#service-works,앵커,/homepage-production/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,소규모 사업자를 위한 홈페이지 제작,https://dsgnyeh.art/homepage-production/,,,유지,—,,validation.json
https://dsgnyeh.art/operations-automation/#service-main,앵커,/operations-automation/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,문의 이후 운영 자동화 · 사람의 승인과 수동 대체 · designYEH,문의 이후 운영 자동화 · 사람의 승인과 수동 대체,https://dsgnyeh.art/operations-automation/,,,유지,—,,validation.json
https://dsgnyeh.art/operations-automation/#service-works,앵커,/operations-automation/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,문의 이후 운영 자동화 · 사람의 승인과 수동 대체 · designYEH,문의 이후 운영 자동화 · 사람의 승인과 수동 대체,https://dsgnyeh.art/operations-automation/,,,유지,—,,validation.json
https://dsgnyeh.art/portfolio/#top,앵커,/portfolio/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,designYEH 제작 사례,https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/portfolio/#works,앵커,/portfolio/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,소규모 사업자를 위한 홈페이지 제작 · designYEH,designYEH 제작 사례,https://dsgnyeh.art/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#ai,앵커,/pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#custom,앵커,/pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#landing,앵커,/; /about/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#maintenance,앵커,/; /about/; /contact/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#pricing-main,앵커,/pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#reply,앵커,/pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#revisions,앵커,/; /about/; /portfolio/; /pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dsgnyeh.art/pricing/#terms,앵커,/pricing/,페이지 내 정보/작품 탐색,해당 섹션 읽기,부모 문서 200,독립 URL 아님,DOM id 및 내부 링크 검사,홈페이지 제작 가격 및 이용 안내 · designYEH,"필요한 범위는 명확하게, 비용은 이해하기 쉽게.",https://dsgnyeh.art/pricing/,,,유지,—,,validation.json
https://dcarecenter.kr,외부 참조/연락,/; /about/; /homepage-production/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://designluka.co.kr,외부 참조/연락,/; /about/; /homepage-production/; /operations-automation/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://grit-lab.kr,외부 참조/연락,/; /about/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://hoopnote.kr,외부 참조/연락,/; /about/; /operations-automation/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://laf2023.com,외부 참조/연락,/; /about/; /brand-identity/; /homepage-production/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://mavs.kr,외부 참조/연락,/; /about/; /operations-automation/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://open.kakao.com/me/designyeh,외부 참조/연락,/contact/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
https://sdngazer.art,외부 참조/연락,/; /about/; /brand-identity/; /portfolio/,기존 작업 감상 또는 문의,외부 서비스 열기,외부 목적지 자체 미검증,이 사이트의 대표 경로 아님,href만 확인; 실제 전송 없음,,,,,,유지,—,,기존 URL 보존 테스트
http://dsgnyeh.art/,호스트/프로토콜 변형,CNAME 및 canonical 호스트 검증,공식 홈 접근,HTTPS apex 홈,HEAD 200,대표 URL 통합,HEAD 응답 확인,,,,,O01: HTTPS 강제 전환 없음,운영 승인 필요,P2,,live/redirect-headers.json
https://www.dsgnyeh.art/,호스트/프로토콜 변형,CNAME 및 canonical 호스트 검증,공식 홈 접근,HTTPS apex 홈,HEAD 301→200,대표 URL 통합,HEAD 응답 확인,,,,,apex 대표 호스트로 단일 이동,유지,P2,,live/redirect-headers.json
